2025-04-21,Sanya,Let's celebrate your success!,Friendly,Neutral,1,N
2025-03-19,Mouni,Nobody will ever believe you.,Gaslighting,Manipulated,3,N
2025-05-25,Shreya,I've noticed you changed your routine.,Stalking,Fearful,3,N
2025-04-23,Sanya,Coffee and catch-up soon?,Friendly,Neutral,1,N
2025-03-21,Mouni,"Try to leave, and I'll find you.",Emotional Abuse,Fearful,5,Y
2025-05-28,Shreya,Who was that person you were talking to?,Controlling,Distressed,3,N
2025-04-25,Sanya,Here for you if you need to talk.,Friendly,Neutral,1,N
2025-03-23,Mouni,You're making me look bad on purpose.,Gaslighting,Manipulated,3,N
2025-05-31,Shreya,I've been noting down your visitors.,Stalking,Fearful,4,Y
2025-04-27,Sanya,Want to join our weekend plans?,Friendly,Neutral,1,N
2025-03-25,Mouni,"Keep pushing me, and see what happens.",Emotional Abuse,Fearful,4,Y
2025-06-03,Shreya,You shouldn't go out so late alone.,Controlling,Distressed,3,N
2025-04-29,Sanya,Missing our coffee chats!,Friendly,Neutral,1,N
2025-03-27,Mouni,You're just like all the others.,Emotional Abuse,Distressed,3,N
2025-06-06,Shreya,I know all about your new friend.,Controlling,Distressed,3,N
2025-05-01,Sanya,Let's plan a fun day out!,Friendly,Neutral,1,N
2025-03-29,Mouni,"One more word, and you'll regret it.",Emotional Abuse,Fearful,4,Y
2025-06-09,Shreya,I've been watching your place at night.,Stalking,Fearful,5,Y
2025-05-03,Sanya,How about lunch this week?,Friendly,Neutral,1,N
2025-03-31,Mouni,You're making me crazy on purpose.,Gaslighting,Manipulated,3,N
2025-06-12,Shreya,That outfit looked nice on you today.,Stalking,Fearful,3,N
2025-05-05,Sanya,Remember you're not alone!,Friendly,Neutral,1,N
2025-04-02,Mouni,"Push me again, and I'll show you.",Emotional Abuse,Fearful,4,Y
2025-06-15,Shreya,I saw you at the store yesterday.,Stalking,Fearful,3,N
2025-05-07,Sanya,Want to join our study session?,Friendly,Neutral,1,N
2025-04-04,Mouni,You're ruining everything as usual.,Emotional Abuse,Distressed,3,N
2025-06-18,Shreya,I know where you park your car.,Stalking,Fearful,4,Y
2025-05-09,Sanya,Here's that book you mentioned!,Friendly,Neutral,1,N
2025-04-06,Mouni,"Try to leave me, and you'll see what happens.",Emotional Abuse,Fearful,5,Y
2025-06-21,Shreya,I've been keeping notes about you.,Stalking,Fearful,4,Y
2025-05-11,Sanya,Let's grab dinner soon!,Friendly,Neutral,1,N
time_stamp,user_name,narrative_entry,incident_type,user_emotional_state,severity_score,potential_crime
